숲이야기순번,구분,식물명,영문명,안내,학명,식물분류군명,서식장소,식물의일생,식물이야기설명,식물자료제공,등록일
169,초본류,질경이,Asiatic Plantain,쌍떡잎식물 질경이목 : 질경이과의 여러해살이풀,Plantago asiatica L.,질경이과,풀밭이나 길가 또는 빈터,"줄기는 없고, 잎은 뿌리에서 뭉쳐나오며 타원 모양 또는 달걀 모양이고 길이가 4~15cm, 폭이 3~8cm이며 5개의 나란히맥이 뚜렷하고 가장자리에 물결 모양의 톱니가 있다. 잎자루는 잎몸과 길이가 비슷하고 밑 부분이 넓어져서 서로 얼싸안는다. 꽃은 6~8월에 흰색으로 피고 잎 사이에서 나온 길이 10~50cm이 꽃줄기 윗부분에 수상꽃차례를 이루며 빽빽이 달린다. 포는 좁은 달걀 모양이고 꽃받침보다 짧으며 대가 없다. 꽃받침은 4개로 갈라지고, 갈라진 조각은 달걀을 거꾸로 세운 모양의 타원형이며 끝이 둥글고 흰색의 막질이다. 화관은 깔때기 모양이고 끝이 4개로 갈라지고 수술은 4개이고 화관 밖으로 길게 나오며, 암술은 1개이고, 씨방은 상위이다. 열매는 삭과이고 꽃받침 길이의 2배이며 익으면 가운데 부분이 옆으로 갈라져 뚜껑처럼 열리고 6~8개의 종자가 나온다. 종자는 길이가 2mm이고 검은색이다. 한국 · 일본 · 사할린 · 타이완 · 중국 · 시베리아 동부 · 히말라야 · 자바 · 말레이시아 등지에 분포한다.",어렸을 때 밟아 주면 더 잘 자란다고 해서 붙여진 이름이라고 합니다.,단양국유림관리소     ,2009-07-10
17,목본류,노간주나무, ,겉씨식물 구과목 : 측백나무과의 상록침엽 교목,Juniperus rigida Siebold & Zucc.,구과목 측백나무과,산기슭의 양지쪽 특히 석회암 지대,"높이 약 8m, 지름 약 20cm이며 잎은 좁은 줄 모양으로 세모나고 3개가 돌려나며 끝은 뾰족하고 겉면 가운데에 흰색의 좁은 홈이 있다. 잎 길이는 12~20mm이다. 꽃은 5월에 피는데 초록빛을 띤 갈색 꽃이 묵은 가지의 잎겨드랑이에 달린다. 수꽃은 1~3개씩 피고 20개 정도의 비늘조각이 있으며 밑쪽에 4~5개의 꽃밥이 달린다. 암꽃은 1개씩 피고 둥근 모양이며 9개의 열매 조각이 있고 3개의 심피로 되며 그 안에 3개의 밑씨가 있다. 열매는 구과로 다음해 10월에 검은빛을 띤 갈색으로 익는데, 공 모양이며 지름 7~8mm이다. 흰 분비물이 남아 있고 3개의 돌기가 있으며 달콤한 맛이나 약간 쓰다. 한국 · 일본 · 중국 · 몽골 · 시베리아(헤이룽강 유역) 등지에 분포한다.","노가지나무, 노간주향나무라고도 하며 향나무와 비슷합니다.",단양국유림관리소     ,2009-07-10
170,초본류,참나리, ,외떡잎식물 백합목 : 백합과의 여러해살이풀,Lilium lancifolium Thunb.,백합과,산과 들,"비늘줄기는 흰색이고 지름 5~8cm의 둥근 모양이며 밑에서 뿌리가 나오며 줄기는 높이가 1~2m이고 검은빛이 도는 자주색 점이 빽빽이 있으며 어릴 때는 흰색의 거미줄 같은 털이 있다. 잎은 어긋나고 길이 5~18cm의 바소꼴이며 녹색이고 두터우며 밑 부분에 짙은 갈색의 주아가 달린다. 꽃은 7~8월에 피고 노란꽃이 도는 붉은색 바탕에 검은빛이 도는 자주색 점이 많으며 지름이 10~12cm이고, 줄기 끝에 4~20개가 밑을 향하여 달린다. 화피 조각은 6개이고 바소꼴이며 뒤로 심하게 말린다. 밀구에 털이 있고, 6개의 수술과 1개의 암술이 길게 꽃 밖으로 나오며, 꽃밥은 짙은 붉은빛을 띤 갈색이다. 한국 · 일본 · 중국 · 사할린 등지에 분포한다.",백합류의 우리말 이름은 나리입니다.,단양국유림관리소,2009-07-10
171,초본류,참취, ,쌍떡잎식물 합판화군 : 초롱꽃목 국화과의 여러해살이풀,Aster scaber Thunb.,국화과,산이나 들의 초원,"높이 1~1.5m로 윗부분에서 가지가 많이 갈라진다. 뿌리잎은 자루가 길고 심장 모양으로 가장자리에 굵은 톱니가 있으며 꽃필 때쯤 되면 없어진다. 줄기 잎은 어긋나고 밑부분의 것은 뿌리잎과 비슷하며 잎자루에 날개가 있으며 거칠고 양면에 털이 있으며 톱니가 있다. 중앙부의 잎은 위로 올라가면서 점차 작아지고, 꽃이삭 밑의 잎은 타원형 또는 긴 달걀 모양이다. 잎에 무성아 비슷한 것이 생기는 것은 벌레집이며 꽃은 8~10월에 피고 흰색이며 두화는 산방꽃차례로 달린다. 포는 3줄로 배열하고 설상화는 6~8개이며 관상화는 노란색이며 열매는 수과로 11월에 익는다. 한국 · 일본 · 중국 등지에 널리 분포한다. ",가을의 초입에서 국화과 식물 가운데 결코 빼놓을 수 없는 식물입니다.,단양국유림관리소     ,2009-07-10
172,초본류,처녀치마, ,외떡잎식물 백합목 : 백합과의 여러해살이풀 ,Heloniopsis koreana Fuse & al.,백합과   ,산지의 그늘 습기가 많은 곳,"높이 17~30cm 정도이며 뿌리줄기는 짧고 곧다. 잎은 무더기로 나와서 꽃방석 같이 퍼지고 거꾸로 선 바소꼴이며 녹색으로 윤기가 있다. 꽃줄기는 4월에 잎 중앙에서 나오고 길이 10~15cm이지만 꽃이 진 후에는 60cm 내외로 자라고 3~10개의 꽃이 총상꽃차례로 달린다.꽃은 4~5월에 피며 지름 2cm 내외이고 연한 홍색에서 자록색으로 변하며, 열매가 성숙할 때까지 남아 있다. 화피갈래조각과 수술은 6개이며 암술머리에 3개의 돌기가 있다. 열매는 삭과로 8월에 익으며 화피갈래조각으로 싸여 있고 3개의 능선이 있으며 포 사이로 터진다. 한국 · 일본 등지에 분포한다. ",처녀치마란 잎이 땅바닥에 사방으로 둥글게 퍼져 있는 모습을 말합니다.,단양국유림관리소     ,2009-07-10
173,초본류,초롱꽃, ,쌍떡잎식물 합판화군 초롱꽃목 : 초롱꽃과의 여러해살이풀,Campanula punctata Lam.,초롱꽃과,산지의 풀밭 ,줄기는 높이 40~100cm이고 전체에 퍼진 털이 있으며 옆으로 뻗어가는 가지가 있다. 뿌리잎은 잎자루가 길고 달걀꼴의 심장 모양이다. 줄기잎은 세모꼴의 달걀 모양 또는 넓은 바소꼴이고 가장자리에 불규칙한 톱니가 있다. 꽃은 6~8월에 피고 흰색 또는 연한 홍자색 바탕에 짙은 반점이 있으며 긴 꽃줄기 끝에서 밑을  향하여 달린다. 화관은 길이 4~5cm이고 꽃받침은 5개로 갈라지고 털이 있으며 갈래조각 사이에 뒤로 젖혀지는 부속체가 있다. 5개의 수술과 1개의 암술이 있으며 씨방은 하위이고 암술머리는 3개로 갈라진다. 열매는 삭과로 거꾸로 선 달걀 모양이고 9월에 익으며 방향성 식물이다. 한국 · 일본 · 중국에 분포한다.,옛날 밤길을 밝히기 위해 들고 다니던 초롱과 비슷하게 생겼습니다.,단양국유림관리소     ,2009-07-10
174,초본류,톱풀, ,쌍떡잎식물 초롱꽃목 : 국화과의 여러해살이풀 ,Achillea alpina L.,국화과  ,산과 들  ,"높이 50~110cm로 뿌리줄기가 옆으로 뻗으면서 여러 대가 모여 나오고 윗부분에 털이 많이 난다. 잎은 어긋나고 꽃은 양성화로서 7~10월에 피는데, 줄기과 가지 끝에 흰색의 두화가 산방꽃차례로 달린다. 열매는 수과로서 11월에 익으며 양끝이 납작하고 털이 없다. 한국 · 일본 · 중국 · 동시베리아 · 캄차카반도 · 북아메리카에 분포한다.",톱풀은 잎의 양쪽 가장자리가 톱날의 모양을 닮아서 붙여진 이름입니다.,단양국유림관리소     ,2009-07-10
175,초본류,투구꽃, ,쌍떡잎식물 미나리아재비목 : 미나리아재비과의 여러해살이풀,Aconitum jaluense Kom. subsp. jaluense,미나리아재비과   ,깊은 산골짜기,"높이 약 1m로 뿌리는 새발처럼 생기고 줄기는 곧게 서고 잎은 어긋나며 손바닥 모양으로 3~5개로 갈라진다. 각 갈래조각은 다시 갈라지지만 위로 올라갈수록 잎이 작아져서 전체가 3개로 갈라진다. 갈래조각에 톱니가 있으며 잎자루가 길며 꽃은 9월에 자주색으로 피고 총상 또는 겹총상꽃차례에 달리며 작은꽃 줄기에 털이 난다. 꽃받침조각은 꽃잎처럼 생기고 털이 나며 뒤쪽의 꽃잎이 고깔처럼 전체를 위에서 덮는다. 수술은 많고 수술대는 밑부분이 넓어지며 씨방은 3~4개로서 털이 난다. 열매는 골돌과로서 3개가 붙어 있고 타원 모양이며 10월에 익는다. 한국의 속리산 이북, 중국 동북부, 러시아에 분포한다.",투구꽃은 국화과 식물이며 가을 숲속에서 그 독특한 모습을 볼 수 있습니다.,단양국유림관리소     ,2009-07-10
176,초본류,패랭이꽃, ,쌍떡잎식물 중심자목 : 석죽과의 여러해살이풀,Dianthus chinensis L. var. chinensis,석죽과,"낮은 지대의 건조한 곳, 냇가 모래땅","줄기는 빽이 모여나며 높이 30cm내외로서 위에서 가지가 갈라진다. 잎은 마주나고 밑부분에서 합쳐져서 원줄기를 둘러싸며 줄 모양으로 가장자리가 밋밋하다. 꽃은 양성화로 6~8월에 피고 가지 끝에 1개씩 달리며 붉은색으로 꽃받침은 5개로 갈라지고 밑은 원통형이다. 꽃잎은 5개이며 밑부분이 가늘어지고 현부는 옆으로 퍼지며 끝이 얕게 갈라지고 짙은 무늬가 있다.수술은 10개, 암술대는 2개이고 열매는 삭과로서 꽃받침으로 싸여 있고 끝에서 4개로 갈라지며 9~10월에 익는다. 밑에 4~6개의 포가 있다. 한국 · 중국에 분포한다.",꽃 모양이 옛날에 상인들이 머리에 썼던 '패랭이'를 닮았다고 합니다.,단양국유림관리소     ,2009-07-10
177,초본류,하늘매발톱, ,쌍떡잎식물 미나리아재비목 : 미나리아재비과의 여러해살이풀 ,Aquilegia japonica Nakai & H.Hara,미나리아재비과,고산 지대,뿌리가 굵고 깊게 들어가며 줄기는 30cm내외로 자라며 뿌리에서 잎이 무더기로 나온다. 잎은 2회 작은잎이 3장씩 나온 잎이며 뿌리에서 나온 것은 잎자루가 길다. 작은잎은 삼각형을 거꾸로 세운 듯한 모양이며 2~3개로 얇게 갈라지고 다시 2~3개로 갈라진다. 갈래조각은 끝이 둥글거나 파지고 줄기에는 잎이 2개 달린다. 꽃은 7~8월에 피고 밝은 하늘색이며 원줄기 끝에 1~3개가 밑을 향하여 달린다. 꽃받침조각은 길이 2~2.5cm이고 꽃잎은 이보다 짧으며 꿀주머니는 둥글고 끝이 가늘어져서 안쪽으로 말린다. 열매는 골돌과로 5개씩이며 털이 없다. 한국(낭림산 이북) · 일본 등지에 분포한다.,식물이름 중에는 동물이름을 붙인 것이 많습니다.,단양국유림관리소     ,2009-07-10
178,초본류,할미꽃, ,쌍떡잎식물 미나리아재비목 : 미나리아재비과의 여러해살이풀  ,Pulsatilla koreana (Yabe ex Nakai) Nakai ex Mori,미나리아재비과,산과 들판의 양지,"곧게 들어간 굵은 뿌리 머리에서 잎이 무더기로 나와서 비스듬히 퍼진다. 잎은 잎자루가 길고 5개의 작은잎으로 된 깃꼴겹잎이며 작은잎은 길이 3~4cm이고 3개로 깊게 갈라지고 꼭대기의 갈래조각은 나비 6~8mm로 끝이 둔하다. 전체에 흰 털이 빽빽이 나서 흰빛이 돌지만 표면은 짙은 녹색이고 털이 없으며, 꽃은 4월에 피고 꽃자루 끝에서 밑을 향하여 달리며 붉은빛을 띤 자주색이다. 꽃자루는 길이 30~40cm이고 작은포는 꽃대 밑에 달려서 3~4개로 갈라지고 꽃자루와 더불어 흰털이 빽빽이 난다. 화피갈래조각은 6개이고 긴 타원형이며 길이 35mm, 나비 12mm이고 겉에 털이 있으나 안쪽에는 없다. 열매는 수과로서 긴 달걀 모양이며 끝에 4cm 내외의 암술대가 남아 있다. 한국 &middot; 중국 &middot; 북동부 &middot; 우수리강 &middot; 헤이룽강에 분포한다.",할미꽃은 이른 봄 풀잎이 아직 누렇게 죽어 있는 풀밭에서 볼 수 있습니다.,단양국유림관리소     ,2009-07-10
179,초본류,현호색, ,쌍떡잎식물 이판화군 양귀비목 : 현호색과의 여러해살이풀,Corydalis remota Fisch. ex Maxim.,현호색과,산록의 습기가 있는 곳,"덩이줄기는&#160;지름&#160;1cm정도이고&#160;여기서&#160;나온&#160;줄기는&#160;20cm&#160;정도&#160;자라는&#160;여러해살이&#160;풀이다.&#160;밑부분에&#160;포&#160;같은&#160;잎이&#160;1개&#160;달리고&#160;거기서&#160;가지가&#160;갈라진다.&#160;잎은&#160;어긋나고&#160;잎자루가&#160;길며&#160;1~2회&#160;3개씩&#160;갈라진다.&#160;갈래조각은&#160;도란형이고&#160;윗부분이&#160;깊게&#160;또는&#160;결각상으로&#160;갈라지며&#160;가장자리에&#160;톱니가&#160;있고&#160;뒷면은&#160;분백색이다.&#160; 꽃은&#160;4월에&#160;피고&#160;연한&#160;홍자색이며&#160;총상꽃차례로&#160;5~10개가&#160;달린다.&#160;화관은&#160;길이&#160;2.5cm정도이고&#160;뒤쪽은&#160;꿀주머니로&#160;되며&#160;앞쪽은&#160;넓게&#160;퍼져&#160;있으며&#160;꽃잎은&#160;4장이고&#160;꽃은&#160;한쪽으로&#160;넓게&#160;퍼지며&#160;거의&#160;끝이&#160;약간&#160;밑으로&#160;굽는다.&#160;열매는&#160;길이&#160;2cm,&#160;너비&#160;3cm정도로서&#160;선형의&#160;삭과로&#160;익으며&#160;양끝이&#160;좁고&#160;뾰족하며&#160;씨는&#160;둥글도&#160;광택이&#160;있다.&#160;한국&#160;및&#160;중국&#160;동북부를&#160;거쳐&#160;시베리아까지&#160;분포한다.",이른 봄 다른 꽃보다 앞서서 피어나는 꽃입니다.,단양국유림관리소,2009-07-10
